sample_id,cluster_id
AB0260-C,cluster_2
AB0261-Cx,cluster_2
AB0262-Cx,cluster_2
AB0263-C,cluster_2
AB0264-C,cluster_2
AB0265-C,cluster_2
AB0266-Cx,cluster_2
AB0267-C,cluster_2
AB0268-C,cluster_2
AB0269-Cx,cluster_2
AB0270-C,cluster_2
AB0271-Cx,cluster_2
AB0272-Cx,cluster_2
AB0273-Cx,cluster_2
AB0274-C,cluster_2
AB0275-C,cluster_2
AB0276-C,cluster_2
AB0277-C,cluster_2
AB0278-C,cluster_2
AB0279-C,cluster_2
AB0280-Cx,cluster_2
AB0281-Cx,cluster_2
AB0282-Cx,cluster_2
AB0283-C,cluster_2
AB0284-C,cluster_2
AB0326-C,cluster_2
AB0327-C,cluster_2
AB0328-C,cluster_2
AB0329-C,cluster_2
AB0330-C,cluster_2
AB0331-C,cluster_2
AB0332-C,cluster_2
AB0333-C,cluster_2
AB0334-C,cluster_2
AB0337-C,cluster_2
AB0338-C,cluster_2
AB0339-C,cluster_2
AB0340-C,cluster_2
AB0341-C,cluster_2
AB0348-C,cluster_2
AB0351-C,cluster_2
AB0352-C,cluster_2
AB0354-C,cluster_2
AB0355-C,cluster_2
AB0356-C,cluster_2
AB0357-C,cluster_2
AB0358-C,cluster_2
AB0359-C,cluster_2
AB0360-C,cluster_2
AB0361-C,cluster_2
AB0362-C,cluster_2
AB0363-C,cluster_2
AB0364-C,cluster_2
AB0365-C,cluster_2
AB0366-C,cluster_2
AB0367-C,cluster_2
AB0368-C,cluster_2
AB0369-C,cluster_2
AB0370-C,cluster_2
AB0371-C,cluster_2
AB0372-C,cluster_2
AB0373-C,cluster_2
AB0374-C,cluster_2
AB0375-C,cluster_2
AB0378-C,cluster_2
AB0379-C,cluster_2
AB0381-C,cluster_2
AB0386-C,cluster_2
AB0388-C,cluster_2
AB0389-C,cluster_2
AB0396-C,cluster_2
AB0397-C,cluster_2
AB0398-C,cluster_2
AB0399-C,cluster_2
AB0400-C,cluster_2
AB0403-C,cluster_2
AB0404-C,cluster_2
AB0409-C,cluster_2
AB0410-C,cluster_2
AB0411-C,cluster_2
AB0413-C,cluster_2
AB0432-C,cluster_2
AB0433-C,cluster_2
AB0435-C,cluster_2
AB0436-C,cluster_2
AB0439-C,cluster_2
AB0440-C,cluster_2
AB0457-C,cluster_2
AB0458-C,cluster_2
AB0459-C,cluster_2
AB0460-C,cluster_2
AB0462-C,cluster_2
AB0463-C,cluster_2
AB0465-C,cluster_2
AB0466-C,cluster_2
AB0467-C,cluster_2
AB0468-C,cluster_2
AB0469-C,cluster_2
AB0470-C,cluster_2
AB0471-C,cluster_2
AB0472-C,cluster_2
AB0473-C,cluster_2
AB0474-C,cluster_2
AB0477-C,cluster_2
AB0502-C,cluster_2
AB0503-C,cluster_2
AB0504-C,cluster_2
AB0505-C,cluster_2
AB0508-C,cluster_2
AB0509-C,cluster_2
AB0510-C,cluster_2
AB0517-C,cluster_2
AB0523-C,cluster_2
AB0524-C,cluster_2
AB0525-C,cluster_2
AB0526-C,cluster_2
AB0527-C,cluster_2
AB0528-C,cluster_2
AB0529-C,cluster_2
AB0530-C,cluster_2
AB0531-C,cluster_2
AB0532-C,cluster_2
AB0533-C,cluster_2
AB0536-C,cluster_2
AB0537-C,cluster_2
AB0538-C,cluster_2
AB0408-C,cluster_2
AB0298-C,cluster_25
AB0299-C,cluster_25
AB0301-C,cluster_25
AB0302-C,cluster_25
AB0303-C,cluster_25
AB0309-C,cluster_25
AB0312-C,cluster_25
AB0313-C,cluster_25
AB0314-C,cluster_25
AB0315-C,cluster_25
AB0316-C,cluster_25
AB0318-C,cluster_25
AB0325-C,cluster_25
BP0009-C,cluster_11
BP0010-C,cluster_11
BP0011-C,cluster_11
BP0012-C,cluster_11
BP0013-C,cluster_11
BP0015-C,cluster_11
BP0016-C,cluster_11
BP0017-C,cluster_11
BP0018-C,cluster_11
BP0019-C,cluster_11
BP0020-C,cluster_11
BP0021-C,cluster_11
BP0022-C,cluster_11
BP0023-C,cluster_11
BP0024-C,cluster_11
BP0025-C,cluster_11
BP0026-C,cluster_11
BP0027-C,cluster_11
BP0028-C,cluster_11
BP0029-C,cluster_11
BP0030-C,cluster_11
BP0031-C,cluster_11
BP0032-C,cluster_11
BP0033-C,cluster_11
BP0034-C,cluster_11
BP0035-C,cluster_11
BP0036-C,cluster_11
BP0037-C,cluster_11
BP0038-C,cluster_11
BP0039-C,cluster_11
BP0040-C,cluster_11
BP0041-C,cluster_11
BP0042-C,cluster_11
BP0043-C,cluster_11
BP0044-C,cluster_11
BP0045-C,cluster_11
BP0046-C,cluster_11
BP0047-C,cluster_11
BP0048-C,cluster_11
BP0049-C,cluster_11
BP0050-C,cluster_11
BP0051-C,cluster_11
BP0052-C,cluster_11
BP0053-C,cluster_11
BP0054-C,cluster_11
BP0055-C,cluster_11
BP0056-C,cluster_11
BP0057-C,cluster_11
BP0058-C,cluster_11
BP0059-C,cluster_11
BP0060-C,cluster_11
BP0061-C,cluster_11
BP0062-C,cluster_11
BP0064-C,cluster_11
BP0065-C,cluster_11
BP0066-C,cluster_11
BP0067-C,cluster_11
BP0069-C,cluster_11
BP0070-C,cluster_11
BP0071-C,cluster_11
BP0072-C,cluster_11
BP0074-C,cluster_11
BP0075-C,cluster_11
BP0076-C,cluster_11
BP0077-C,cluster_11
BP0078-C,cluster_11
BP0079-C,cluster_11
BP0080-C,cluster_11
BP0081-C,cluster_11
BP0001-C,cluster_11
BP0002-C,cluster_11
BP0003-C,cluster_11
BP0004-C,cluster_11
BP0006-C,cluster_11
BP0007-C,cluster_11
BP0008-C,cluster_11
BK0001-C,cluster_13
BK0002-C,cluster_13
BK0003-C,cluster_13
BK0005-C,cluster_13
BK0006-C,cluster_13
BK0007-C,cluster_13
BK0008-C,cluster_13
BK0009-C,cluster_13
BK0010-C,cluster_13
BK0011-C,cluster_13
BK0013-C,cluster_13
BK0014-C,cluster_13
BK0015-C,cluster_13
BK0016-C,cluster_13
BK0017-C,cluster_13
BK0018-C,cluster_13
BK0019-C,cluster_13
BK0021-C,cluster_13
BK0022-C,cluster_13
BK0023-C,cluster_13
BK0024-C,cluster_13
BK0025-C,cluster_13
BK0026-C,cluster_13
BK0027-C,cluster_13
BK0029-C,cluster_13
BK0030-C,cluster_13
BK0031-C,cluster_13
BK0032-C,cluster_13
BK0033-C,cluster_13
BK0034-C,cluster_13
BK0035-C,cluster_13
BK0037-C,cluster_13
BK0038-C,cluster_13
BK0039-C,cluster_13
BK0040-C,cluster_13
BK0041-C,cluster_13
BK0042-C,cluster_13
BK0043-C,cluster_13
BK0045-C,cluster_13
BK0046-C,cluster_13
BK0047-C,cluster_13
BK0048-C,cluster_13
BK0049-C,cluster_13
BK0050-C,cluster_13
BK0051-C,cluster_13
BK0053-C,cluster_13
BK0054-C,cluster_13
BK0055-C,cluster_13
BK0056-C,cluster_13
BK0057-C,cluster_13
BK0058-C,cluster_13
BK0059-C,cluster_13
BK0061-C,cluster_13
BK0062-C,cluster_13
BK0063-C,cluster_13
BK0064-C,cluster_13
BK0065-C,cluster_13
BK0066-C,cluster_13
BK0067-C,cluster_13
BK0069-C,cluster_13
BK0070-C,cluster_13
BK0071-C,cluster_13
BK0072-C,cluster_13
BK0074-C,cluster_13
BK0077-C,cluster_13
BK0078-C,cluster_13
BK0080-C,cluster_13
BK0081-C,cluster_13
BK0082-C,cluster_13
BK0083-C,cluster_13
BK0085-C,cluster_13
BK0086-C,cluster_13
BK0094-CW,cluster_13
AY0072-C,cluster_10
AY0062-C,cluster_10
AY0055-C,cluster_10
AY0034-C,cluster_10
AY0078-C,cluster_10
AY0033-C,cluster_10
AY0064-C,cluster_10
AY0032-C,cluster_10
AY0067-C,cluster_10
AY0059-C,cluster_10
AY0027-C,cluster_10
AY0060-C,cluster_10
AY0061-C,cluster_10
AY0031-C,cluster_10
AY0091-C,cluster_10
AY0052-C,cluster_10
AY0021-C,cluster_10
AY0045-C,cluster_10
AY0068-C,cluster_10
AY0016-C,cluster_10
AY0039-C,cluster_10
AY0042-C,cluster_10
AY0088-C,cluster_10
AY0015-C,cluster_10
AY0020-C,cluster_10
AY0077-C,cluster_10
AY0049-C,cluster_10
AY0029-C,cluster_10
AY0040-C,cluster_10
AY0054-C,cluster_10
AY0046-C,cluster_10
AY0057-C,cluster_10
AY0025-C,cluster_10
AY0069-C,cluster_10
AY0070-C,cluster_10
AY0028-C,cluster_10
AY0073-C,cluster_10
AY0084-C,cluster_10
AY0075-C,cluster_10
AY0014-C,cluster_10
AY0092-C,cluster_10
AY0087-C,cluster_10
AY0044-C,cluster_10
AY0071-C,cluster_10
AY0090-C,cluster_10
AY0026-C,cluster_10
AY0050-C,cluster_10
AY0041-C,cluster_10
AY0085-C,cluster_10
AY0023-C,cluster_10
AY0038-C,cluster_10
AY0007-C,cluster_10
AY0018-C,cluster_10
AY0019-C,cluster_10
AY0086-C,cluster_10
AY0076-C,cluster_10
